id,key,value,type
53131893,highway,turning_circle,regular
53131947,highway,turning_circle,regular
53133457,highway,turning_circle,regular
53133816,highway,turning_circle,regular
53134238,highway,turning_circle,regular
53134793,highway,turning_circle,regular
53137545,highway,turning_circle,regular
53137645,highway,turning_circle,regular
53137773,traffic_calming,bump,regular
53138762,highway,traffic_signals,regular
53139013,highway,crossing,regular
53139145,highway,turning_circle,regular
53139404,highway,turning_circle,regular
53139780,highway,turning_circle,regular
53140022,highway,turning_circle,regular
53141108,highway,turning_circle,regular
53142473,highway,turning_circle,regular
53142877,barrier,gate,regular
53144765,highway,turning_circle,regular
53144952,highway,turning_circle,regular
53145018,highway,turning_circle,regular
53145120,highway,turning_circle,regular
53145226,highway,traffic_signals,regular
53145463,highway,turning_circle,regular
53145555,highway,turning_circle,regular
53145954,railway,level_crossing,regular
53146215,highway,turning_circle,regular
53146968,highway,turning_circle,regular
53147146,highway,turning_circle,regular
53147526,highway,turning_circle,regular
53147772,highway,turning_circle,regular
53147927,highway,turning_circle,regular
53148428,highway,traffic_signals,regular
53149003,highway,turning_circle,regular
53150222,highway,turning_circle,regular
53150481,highway,turning_circle,regular
53150861,highway,turning_circle,regular
53151305,railway,level_crossing,regular
53152351,highway,turning_circle,regular
53152744,highway,turning_circle,regular
53152862,highway,turning_circle,regular
53153094,highway,turning_circle,regular
53153626,highway,turning_circle,regular
53154174,highway,turning_circle,regular
53154647,highway,turning_circle,regular
53156028,highway,turning_circle,regular
53156710,highway,turning_circle,regular
53157123,highway,turning_circle,regular
53157172,highway,turning_circle,regular
53157232,highway,turning_circle,regular
56113213,created_by,JOSM,regular
56113276,created_by,JOSM,regular
56113333,created_by,JOSM,regular
56113458,created_by,JOSM,regular
56113601,created_by,JOSM,regular
56113704,created_by,JOSM,regular
56113797,created_by,JOSM,regular
56113994,created_by,JOSM,regular
56114066,created_by,JOSM,regular
56114121,created_by,JOSM,regular
56114177,created_by,JOSM,regular
57789926,power,tower,regular
57791514,highway,motorway_junction,regular
57791514,highway,motorway_junction,regular
57791620,highway,motorway_junction,regular
57791620,highway,motorway_junction,regular
57791620,highway,motorway_junction,regular
57791620,highway,motorway_junction,regular
57793916,power,tower,regular
57796354,power,tower,regular
57797205,power,tower,regular
57799919,highway,stop,regular
57803199,crossing,uncontrolled,regular
57803199,crossing,uncontrolled,regular
57803199,crossing,uncontrolled,regular
57803397,highway,traffic_signals,regular
57803674,highway,traffic_signals,regular
57803791,highway,turning_circle,regular
57805325,highway,turning_circle,regular
57805325,highway,turning_circle,regular
57805620,highway,turning_circle,regular
57806537,highway,turning_circle,regular
57806537,highway,turning_circle,regular
57807835,highway,traffic_signals,regular
57808670,highway,crossing,regular
57812841,highway,turning_circle,regular
57813562,highway,traffic_signals,regular
57814071,highway,traffic_signals,regular
57814167,highway,turning_circle,regular
57815109,highway,turning_circle,regular
57815928,highway,turning_circle,regular
57817810,highway,turning_circle,regular
57817839,highway,turning_circle,regular
57818173,highway,turning_circle,regular
57819100,highway,turning_circle,regular
57819767,highway,traffic_signals,regular
57820596,highway,crossing,regular
57822631,highway,turning_circle,regular
57822979,highway,turning_circle,regular
57823906,highway,turning_circle,regular
57826448,highway,turning_circle,regular
57829821,highway,turning_circle,regular
57830669,highway,turning_circle,regular
57832361,highway,turning_circle,regular
57832419,highway,turning_circle,regular
57833889,highway,traffic_signals,regular
57833915,highway,traffic_signals,regular
57836871,highway,crossing,regular
57837036,highway,turning_circle,regular
57842983,highway,turning_circle,regular
57843530,highway,turning_circle,regular
57844314,highway,turning_circle,regular
57846261,highway,traffic_signals,regular
57846608,barrier,gate,regular
57848202,highway,turning_circle,regular
57848749,highway,turning_circle,regular
57849799,highway,turning_circle,regular
57849799,highway,turning_circle,regular
57849919,highway,turning_circle,regular
57851395,highway,turning_circle,regular
57854112,highway,turning_circle,regular
57855526,highway,traffic_signals,regular
57855569,highway,traffic_signals,regular
57856940,highway,turning_circle,regular
57857773,highway,turning_circle,regular
57858032,highway,motorway_junction,regular
57858032,highway,motorway_junction,regular
57858032,highway,motorway_junction,regular
57858032,highway,motorway_junction,regular
57859721,highway,turning_circle,regular
57860237,highway,traffic_signals,regular
57860981,highway,turning_circle,regular
57861494,highway,crossing,regular
57863515,highway,turning_circle,regular
57865394,highway,traffic_signals,regular
57865607,highway,turning_circle,regular
57866810,highway,turning_circle,regular
57867344,highway,turning_circle,regular
57867850,highway,turning_circle,regular
57867850,highway,turning_circle,regular
57868268,highway,turning_circle,regular
57868325,highway,turning_circle,regular
57868325,highway,turning_circle,regular
57869201,highway,traffic_signals,regular
57869414,highway,turning_circle,regular
57870585,highway,traffic_signals,regular
57875859,highway,turning_circle,regular
57876009,highway,turning_circle,regular
57877803,highway,turning_circle,regular
57877803,highway,turning_circle,regular
57878424,highway,turning_circle,regular
57879675,highway,traffic_signals,regular
57879842,highway,turning_circle,regular
57880646,highway,turning_circle,regular
57882057,highway,turning_circle,regular
57882221,highway,turning_circle,regular
57882791,highway,turning_circle,regular
57883035,highway,turning_circle,regular
57883445,highway,turning_circle,regular
57884147,highway,traffic_signals,regular
57884800,highway,turning_circle,regular
57885249,highway,traffic_signals,regular
57888970,highway,turning_circle,regular
57889793,highway,turning_circle,regular
57890171,highway,turning_circle,regular
57890509,highway,traffic_signals,regular
57891183,highway,turning_circle,regular
57892260,highway,turning_circle,regular
57896049,highway,turning_circle,regular
57896271,highway,turning_circle,regular
57897070,highway,turning_circle,regular
57897338,highway,traffic_signals,regular
57898061,highway,turning_circle,regular
57898522,highway,turning_circle,regular
57898522,highway,turning_circle,regular
57900037,highway,turning_circle,regular
57900856,highway,turning_circle,regular
57902801,highway,turning_circle,regular
57903394,highway,traffic_signals,regular
57903964,highway,turning_circle,regular
57904240,highway,turning_circle,regular
57904292,highway,turning_circle,regular
57906496,highway,turning_circle,regular
57907313,highway,turning_circle,regular
57908284,highway,turning_circle,regular
57909313,highway,turning_circle,regular
57912245,highway,turning_circle,regular
57916831,highway,turning_circle,regular
57916831,highway,turning_circle,regular
57918732,highway,turning_circle,regular
57918929,highway,turning_circle,regular
57920737,highway,turning_circle,regular
57921937,highway,turning_circle,regular
57921937,highway,turning_circle,regular
57926263,highway,turning_circle,regular
57926524,highway,traffic_signals,regular
57926743,highway,turning_circle,regular
57927573,highway,turning_circle,regular
57929408,highway,turning_circle,regular
57930695,highway,turning_circle,regular
57931455,highway,turning_circle,regular
57933458,highway,turning_circle,regular
57934642,highway,turning_circle,regular
57936768,highway,turning_circle,regular
57937473,highway,turning_circle,regular
57937473,highway,turning_circle,regular
57937815,highway,turning_circle,regular
57937878,highway,turning_circle,regular
57940402,highway,turning_circle,regular
57941967,highway,turning_circle,regular
57942473,highway,turning_circle,regular
57943704,highway,turning_circle,regular
57944303,highway,turning_circle,regular
57945164,highway,traffic_signals,regular
57945423,highway,turning_circle,regular
57949835,highway,turning_circle,regular
57951587,highway,turning_circle,regular
57952848,highway,turning_circle,regular
57958814,highway,turning_circle,regular
57958983,highway,turning_circle,regular
57960839,highway,turning_circle,regular
58573124,created_by,JOSM,regular
58573257,created_by,JOSM,regular
58573257,created_by,JOSM,regular
59718348,created_by,JOSM,regular
59718380,created_by,JOSM,regular
61673273,housenumber,668,addr
61673273,housenumber,668,addr
61673273,housenumber,668,addr
61673273,housenumber,668,addr
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
61680526,collection_times,Mo-Fr 17:30;Sa 16:15,regular
65281097,highway,traffic_signals,regular
65284950,sound,yes,traffic_signals
65284950,sound,yes,traffic_signals
65285688,highway,traffic_signals,regular
65287211,highway,traffic_signals,regular
65287243,highway,traffic_signals,regular
65287867,highway,traffic_signals,regular
65287898,highway,stop,regular
65288321,highway,traffic_signals,regular
65289489,highway,traffic_signals,regular
65289573,highway,traffic_signals,regular
65289842,highway,traffic_signals,regular
65289842,highway,traffic_signals,regular
65290185,sound,yes,traffic_signals
65290185,sound,yes,traffic_signals
65290185,sound,yes,traffic_signals
65292463,sound,yes,traffic_signals
65292463,sound,yes,traffic_signals
65292685,highway,stop,regular
65292734,highway,traffic_signals,regular
65292813,traffic_signals,signal,regular
65292813,traffic_signals,signal,regular
65292813,traffic_signals,signal,regular
65292920,highway,stop,regular
65292970,highway,stop,regular
65294171,highway,traffic_signals,regular
65294258,highway,traffic_signals,regular
65295278,highway,traffic_signals,regular
65295278,highway,traffic_signals,regular
65295337,source,data.sfgov.org,regular
65295337,source,data.sfgov.org,regular
65295364,highway,traffic_signals,regular
65295392,highway,traffic_signals,regular
65295392,highway,traffic_signals,regular
65296214,sound,yes,traffic_signals
65296214,sound,yes,traffic_signals
65296645,highway,crossing,regular
65296822,highway,traffic_signals,regular
65296852,highway,traffic_signals,regular
65297085,traffic_calming,hump,regular
65298367,turn_restrictions,no,regular
65299296,highway,stop,regular
65299662,highway,traffic_signals,regular
